Band Number,Mainland.or.Island,Retrap,Date,Wing,Tail,Tarsus,Weight,Ssp,,
01A31916,Mainland,NA,06032013,60,44,15.6,10,Zosterops lateralis cornwalli,,
01A31907,Mainland,NA,15022013,59,44,15.5,9,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,56,40,15.3,10,Zosterops lateralis cornwalli,,
01C35898,Mainland,N,28062022,58,42,15.2,10.8,Zosterops_lateralis_cornwalli,,
01C35898,Mainland,N,28062022,58,42,15.2,10.8,Zosterops_lateralis_cornwalli,,
no band,Mainland,NA,03061998,59,41,15.15,10,Zosterops lateralis cornwalli,,
01A31911,Mainland,NA,06032013,58,44,15.1,11.5,Zosterops lateralis cornwalli,,
01A31917,Mainland,NA,06032013,58,44,15.1,11,Zosterops lateralis cornwalli,,
2728127,Island,NA,21042022,62,50,21.1,13.5,Chlorocephalus,,
02656349,Island,NA,19072014,64,49,20.7,13,Chlorocephalus,,
2728268,Island,NA,25042022,62,49,20.7,12.5,Chlorocephalus,,
01A31588,Island,NA,10062012,64.5,47,20.62,13.5,Chlorocephalus,,
02641252,Island,NA,5042019,62.5,50,20.6,14.5,Chlorocephalus,,
2746480,Island,NA,25062022,64,47,20.6,14,Chlorocephalus,,
2746447,Island,NA,21062022,65,51,20.6,13,Chlorocephalus,,
02656390,Island,NA,20072014,63,48,20.6,11,Chlorocephalus,,
01A31664,Island,NA,13062012,62.5,45,20.56,10,Chlorocephalus,,
2728110,Island,NA,43637,65,50,20.5,25,Chlorocephalus,,
02710145,Island,NA,24102015,61,50.5,20.5,17.5,Chlorocephalus,,
02632298,Island,NA,06122016,62,48.5,20.5,15,Chlorocephalus,,
2746510,Island,NA,16062023,66,47,20.5,14.5,Chlorocephalus,,
02727858,Island,NA,42919,65,47,20.5,14.4,Chlorocephalus,,
2746595,Island,NA,18062023,65,49,20.5,14,Chlorocephalus,,
02585665,Island,NA,5042019,64,49,20.5,13.5,Chlorocephalus,,
01A31659,Island,NA,13062012,66.5,51,20.44,16,Chlorocephalus,,
2746649,Island,NA,21062023,63,50,20.4,17,Chlorocephalus,,
2772580,Island,NA,23062024,66,50,20.4,16.3,Chlorocephalus,,
2746603,Island,NA,18062023,64,50,20.4,16,Chlorocephalus,,
2772619,Island,NA,24062024,66,50,20.4,15.5,Chlorocephalus,,
2772705,Island,NA,2072024,61,50,20.4,15.1,Chlorocephalus,,
2772622,Island,NA,24062024,63,48,20.4,14.8,Chlorocephalus,,
2746462,Island,NA,23062022,64,49,20.4,14,Chlorocephalus,,
02656482,Island,NA,14062015,61,49,20.4,14,Chlorocephalus,,
2746429,Island,NA,21062022,66,48,20.4,14,Chlorocephalus,,
01A31509,Island,NA,7062012,63,47,20.4,14,Chlorocephalus,,
02656444,Island,NA,13062015,62.5,49.5,20.4,13.5,Chlorocephalus,,
2772597,Island,NA,23062024,63,48,20.4,13.4,Chlorocephalus,,
02710191,Island,NA,25062016,65,47,20.4,12.9,Chlorocephalus,,
2746601,Island,NA,18062023,64,49,20.3,17.5,Chlorocephalus,,
2772595,Island,NA,23062024,64,49,20.3,16.1,Chlorocephalus,,
2728163,Island,NA,22042022,64.5,53,20.3,15.5,Chlorocephalus,,
02641247,Island,NA,12042019,65,50,20.3,15.5,Chlorocephalus,,
02700520,Island,NA,29032013,63,49,20.3,15.5,Chlorocephalus,,
02700510,Island,NA,29032013,66.5,47,20.3,15,Chlorocephalus,,
2746419,Island,NA,26042002,64.5,51,20.3,14.5,Chlorocephalus,,
02641264,Island,NA,6042019,63,48,20.3,14.5,Chlorocephalus,,
2772544,Island,NA,22062024,65,48,20.3,14.4,Chlorocephalus,,
02727925,Island,NA,7042019,63.5,52,20.3,14,Chlorocephalus,,
